,NascutiMasculinUrban,NascutiFemininUrban,NascutiMasculinRural,NascutiFemininRural
NascutiMasculinUrban,1.0,0.9951144782396452,0.4998176183074256,0.5169048465504572
NascutiFemininUrban,0.9951144782396452,1.0,0.5061811893644649,0.5251898114039788
NascutiMasculinRural,0.4998176183074256,0.5061811893644649,1.0,0.9944990799965977
NascutiFemininRural,0.5169048465504572,0.5251898114039788,0.9944990799965977,1.0
