,Putere discriminare,p_values
RI,1.3775635810071438,0.2394310474510586
Na,8.565312704907159,9.495020774075158e-07
Mg,21.383727300443528,2.3092638912203256e-14
Al,13.8486701032561,3.3236791097124296e-10
Si,3.663025703521624,0.004441276657571436
K,3.09023675664202,0.012442654982376955
Ca,1.2301192918445307,0.3009358558970272
Ba,8.695544870181159,7.691338754778343e-07
Fe,2.5407022478734165,0.033187223469547056
